year,sample_question_id,normalized_question,question_text,topic,source_file,occurrence_count,first_line
4th Year,cd2ed9a72a7e,based protocols,based protocols?,General Computer Science,4th-year.pdf,1,2902
4th Year,5e088ab9f61e,be employed to mitigate its adverse effects,be  employed to mitigate its adverse effects ?,General Computer Science,4th-year.pdf,1,7527
4th Year,1ab7a3b97e04,brhow does cdma allow each station to transmit the entire frequency spectrum all the time,(e)brHow does CDMA allow each station to transmit  the entire frequency spectrum all the time?,MOBILE COMPUTING,4th-year.pdf,1,3634
4th Year,d136dfedaddb,briefly describe different elements of hypertext,(a) Briefly describe different elements of hypertext?,General Computer Science,4th-year.pdf,1,3814
4th Year,12bbbc3c1f65,briefly explain the difference between dom sax parser,Briefly explain the difference between DOM & SAX Parser?,Web Technology,4th-year.pdf,1,7215
4th Year,57604ace5ff2,briefly explain the different message authentication functions with neat diagrams,Briefly explain the different message authentication functions with neat diagrams?,General Computer Science,4th-year.pdf,1,2139
4th Year,bab0be3ab403,briefly explain the diffie hellman key exchange algorithm,(F) Briefly explain the Diffie Hellman Key Exchange algorithm?,Cryptography and Network Security,4th-year.pdf,1,2130
4th Year,eaf9d4c5f096,c elaborate what do you understand by in config command,"c) Elaborate what do you understand by ""in-config"" command?",General Computer Science,4th-year.pdf,1,6846
4th Year,abc9331a2b5b,c explain in details about the data binding in windows forms and web forms,c) Explain in details about the Data binding in windows forms and web forms?,Web Technology,4th-year.pdf,1,77
4th Year,1b5daa8f8396,c explain olap and its type with diagram,c) Explain OLAP and its type with diagram?,General Computer Science,4th-year.pdf,1,4585
4th Year,9982a98eb6a6,c explain the array types of array and lists with an example,c) Explain the Array & Types of Array and lists with an example?,General Computer Science,4th-year.pdf,1,60
4th Year,fce621452367,c explain the factors affecting back propagation training,c) Explain the factors affecting back propagation training?,Soft Computing,4th-year.pdf,1,6277
4th Year,800df3c52899,c how can you handle error in c,c) How can you handle error in C#?,General Computer Science,4th-year.pdf,1,31
4th Year,f1e85944fe8c,c how is user authentication managed in saas applications,c) How is user authentication managed in SaaS applications?,Cloud Computing,4th-year.pdf,1,1669
4th Year,b2629e9ca5c1,c how we can configure firewall in linux operating system,c) How we can configure firewall in Linux operating system?,Cryptography and Network Security,4th-year.pdf,1,6876
4th Year,f66545a0d7d0,c what are shadow files and how they work,c) What are Shadow files and how they work?,010X20-80T,4th-year.pdf,1,6441
4th Year,368fcb877c23,c what are the issues in design of mac protocols in wireless network,c) What are the issues in design of MAC protocols in wireless network?,Computer Networks,4th-year.pdf,1,1455
4th Year,a235d57e038b,c what are the major requirements of clustering analysis,c) What are the major requirements of clustering analysis?,Machine Learning,4th-year.pdf,1,4597
4th Year,27b11be0cf99,c what are the technical underpinnings that make os level virtualization possible,c) What are the technical underpinnings that make OS-level virtualization possible?,Cloud Computing,4th-year.pdf,1,1246
4th Year,77c1ff506a1e,c what are the various steps in security planning,c) What are the various steps in security planning?,General Computer Science,4th-year.pdf,1,5602
4th Year,52ba785748b0,c what do you mean by pipeline hazard,c) What do you mean by Pipeline Hazard?,General Computer Science,4th-year.pdf,1,506
4th Year,0804a1714a4c,c what do you understand by chinese remainder theorem,c) What do you understand by Chinese Remainder Theorem?,General Computer Science,4th-year.pdf,1,1935
4th Year,fc0926e6dce5,c what do you understand by interleave memory,c) What do you understand by Interleave Memory?,ADVANCED COMPUTER ARCHITECTURE (TCS-702),4th-year.pdf,1,461
4th Year,535d9975376a,c what do you understand by tournament selection,c) What do you understand by Tournament Selection?,General Computer Science,4th-year.pdf,1,6346
4th Year,6fb78b165c7f,c what is,(10 marks)  c) What is,General Computer Science,4th-year.pdf,1,5884
4th Year,6fb78b165c7f,c what is,c) What is,NETWORKS,4th-year.pdf,1,1468
4th Year,01fffc968aee,c what is digital certificate,c) What is Digital Certificate?,General Computer Science,4th-year.pdf,1,1901
4th Year,2d4ae2b0c57e,c what is microsoft hdinsight,c) What is Microsoft HDInsight?,Cloud Computing,4th-year.pdf,1,1704
4th Year,0fcfa2f5c561,c what is shell and explain how it works,c) What is Shell and explain how it works?,Operating Systems,4th-year.pdf,1,6418
4th Year,a36c357d18b0,c what is the difference between an ssl connection and ssl session,c) What is the difference between an SSL connection and SSL session?,Cryptography and Network Security,4th-year.pdf,1,2018
4th Year,aa8525930477,c what is the idea behind meet in the middle attack,c) What is the idea behind meet in the middle attack?,General Computer Science,4th-year.pdf,1,1859
4th Year,f7828dbd70c5,c what is the purpose of the digital signature standard,c) What is the purpose of the Digital Signature Standard (DSS)?,Cryptography and Network Security,4th-year.pdf,1,1995
4th Year,be55bc573182,c what is the use of firewall,c) What is the use of firewall?,Cryptography and Network Security,4th-year.pdf,1,2007
4th Year,db0fbfab72c3,c what is the use of i node,c) What is the use of I-node?,General Computer Science,4th-year.pdf,1,6398
4th Year,931ff63aefa6,c what is vertical scaling in cloud computing,c) What is vertical scaling in cloud computing?,Cloud Computing,4th-year.pdf,1,1686
4th Year,25556fa62efd,calculate the gcd of,"Calculate the GCD of (270,192).",BCST-802/BITT-802,4th-year.pdf,1,7122
4th Year,5684ed66fb97,call traverse from api to driver,call  traverse from API to driver?,"EXAMINATION, 2024 – 25",4th-year.pdf,1,1270
4th Year,17abe2f725bd,called light weight,called light weight?,HOBT,4th-year.pdf,1,6593
4th Year,baa0bf65a2f0,challenges of mobile cloud computing,Challenges of Mobile Cloud Computing,Cloud Computing,4th-year.pdf,1,7068
4th Year,001e28d8b7c9,cloud service brokerage,Cloud Service Brokerage,Cloud Computing,4th-year.pdf,1,7066
4th Year,14d920b9b811,compare and contrast hard and soft computing,Compare and contrast hard and soft computing.,Soft Computing,4th-year.pdf,1,6117
4th Year,3320903ca2cd,compare and contrast the methods of concurrency control for transaction,Compare and contrast the methods of concurrency control for transaction.,Database Management System,4th-year.pdf,1,4999
4th Year,122fc629279a,compare interlaced scanning with,Compare interlaced scanning with,General Computer Science,4th-year.pdf,1,6951
4th Year,e0cfaa4185f0,compare ipv and ipv with their header format,Compare IPV4 and IPV6 with their header format.,Computer Networks,4th-year.pdf,1,1142
4th Year,d986b4a317c9,compare it with horizontal scaling and explain,Compare it with horizontal scaling and explain,Cloud Computing,4th-year.pdf,1,1686
4th Year,6bd38354b52d,compare steganography with cryptography,Compare steganography with cryptography?,Cryptography and Network Security,4th-year.pdf,1,2200
4th Year,84777cb08448,compare the file system of windows unix,Compare the file system of windows & UNIX.,Operating Systems,4th-year.pdf,1,6500
4th Year,eaf623029e12,compare the instruction set architecture in risc and cisc in terms of instruction formats addressing modes and cycle per instruction,"Compare the instruction set architecture in RISC and CISC in terms of instruction formats, addressing modes and cycle per instruction (CPI).",General Computer Science,4th-year.pdf,1,868
4th Year,7af6d6285680,compare the key feature of hdtv and d stereoscopic television,Compare the key feature of HDTV and 3-D stereoscopic television,General Computer Science,4th-year.pdf,1,6980
4th Year,f81f89d34f2e,compare uniprocessor systems with multiprocessor systems for the following aspects,Compare uniprocessor systems with multiprocessor systems for the following aspects:,General Computer Science,4th-year.pdf,1,3113
4th Year,14df263cdfad,comparison of artmap with bpn,Comparison of ARTMAP with BPN (10marks),General Computer Science,4th-year.pdf,1,5885
4th Year,65f3926f9a2a,computing,computing?,General Computer Science,4th-year.pdf,1,5030
4th Year,ffacedf5cd53,computing how has soa influenced modern cloud systems,computing.  How has SOA influenced modern cloud systems?,Cloud Computing,4th-year.pdf,1,1636
4th Year,6ce85410eb28,concepts like polymorphism and encapsulation implemented in c,concepts like  polymorphism and encapsulation implemented in C?,"EXAMINATION, 2024 – 25",4th-year.pdf,1,1273
4th Year,df515e676933,concurrency and synchronization important,Concurrency and synchronization important?,General Computer Science,4th-year.pdf,1,133
4th Year,01cacaf1948c,consider the,Consider the,General Computer Science,4th-year.pdf,1,339
4th Year,0a124c81484c,contention based protocol,contention based protocol?,NETWORKS,4th-year.pdf,1,1469
4th Year,48c910b6614c,cryptography,cryptography?,Cryptography and Network Security,4th-year.pdf,1,2061
4th Year,6a1de0a07e9f,customer predicted to churn,= customer predicted to churn)?,DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,5441
4th Year,7f78902b0b70,d describe moore s law and what is the future scope of it,d) Describe Moore's law and what is the future scope of it.,ADVANCED COMPUTER ARCHITECTURE (TCS-702),4th-year.pdf,1,478
4th Year,c44182cd38a0,d discuss the first generation cellular network,d) Discuss the first generation Cellular network?,Computer Networks,4th-year.pdf,1,1471
4th Year,5c65f3dd1f3d,d explain blowfish in detail,d) Explain Blowfish in detail.,General Computer Science,4th-year.pdf,1,1860
4th Year,61f54a3bea3e,d explain the characteristics of neural network,d) Explain the characteristics of Neural Network?,Soft Computing,4th-year.pdf,1,6279
4th Year,66320c945850,d give the properties of fuzzy set,d) Give the Properties of Fuzzy set?,Soft Computing,4th-year.pdf,1,6295
4th Year,3b94b3bda13c,d what,d) What,NETWORKS,4th-year.pdf,1,1455
4th Year,cff9ba6c25bf,d what are data visualization principles,d) What are data visualization principles?,General Computer Science,4th-year.pdf,1,4548
4th Year,47b2caf75612,d what are generics,d) What are Generics?,General Computer Science,4th-year.pdf,1,4795
4th Year,f424fbf146cf,d what do you mean by file structure,d) What do you mean by file structure?,General Computer Science,4th-year.pdf,1,6850
4th Year,fa9d79668cc4,d what do you understand by run time and compile time polymorphism,d) What do you understand by run time and compile time polymorphism?,General Computer Science,4th-year.pdf,1,48
4th Year,62bb47249e1e,d what is file structure and how it is organized,d) What is file structure and how it is organized?,General Computer Science,4th-year.pdf,1,6420
4th Year,d8545578ba45,d what is ip filtering and what they are used for,d) What is IP filtering and what they are used for?,Computer Networks,4th-year.pdf,1,6830
4th Year,c336f5023134,d what is the function of kernel,d) What is the function of Kernel?,Operating Systems,4th-year.pdf,1,6401
4th Year,fd8da804fd7f,d why c is called type safe language,d) Why C# is called type safe language?,General Computer Science,4th-year.pdf,1,34
4th Year,99fbaf7941a3,data bases using ado net with an example,Data  bases using ADO.Net with an example?,General Computer Science,4th-year.pdf,1,65
4th Year,d3bb580ac7e4,database connectivity also write the code for database connectivity in asp net,database  connectivity also write the code for database connectivity in ASP.Net?,Database Management System,4th-year.pdf,1,152
4th Year,f4a43dca09d9,define an association rule for a customer x whose age must be between and,Define an association rule for a customer X whose age must be between 19 and,DATA WAREHOUSING AND MINING,4th-year.pdf,1,4666
4th Year,2589d9c6bf30,define creation of offspring in detail also write down the principle working of ga,Define Creation of Offspring in detail. Also write down the principle working of GA,General Computer Science,4th-year.pdf,1,6041
4th Year,db6963b860e1,define cryptography,(a) Define cryptography?,Cryptography and Network Security,4th-year.pdf,1,2196
4th Year,bc82e57aafa1,define css explain inline internal external and embedded style sheets with,"Define CSS. Explain inline, internal, external and embedded style sheets with",Web Technology,4th-year.pdf,1,7460
4th Year,b8c9eb37c0dd,define deadlock,Define deadlock?,Distributed Systems,4th-year.pdf,1,4939
4th Year,84105c54ccf3,define ip accounting and its configuration,Define IP Accounting and its configuration.,Computer Networks,4th-year.pdf,1,6516
4th Year,085331c49710,define kerberos with its requirements in the content of kerberos what is realm,"(c) Define Kerberos with its Requirements. In the content of Kerberos, what is realm?",General Computer Science,4th-year.pdf,1,7181
4th Year,0ffc3fb699c8,define network information system in detail and explain maps and dbm used in nis,Define Network Information System in detail and explain maps and DBM used in NIS.,Computer Networks,4th-year.pdf,1,6611
4th Year,3131db78fd5e,define parallel computing what are the fundamental issue in parallel processing,Define parallel computing. What are the fundamental issue in parallel processing?,ADVANCE COMPUTER ARCHITECTURE,4th-year.pdf,1,627
4th Year,25fb7b2a2182,define process capability and process capability ratio,Define Process Capability and Process Capability Ratio.,Operating Systems,4th-year.pdf,1,4029
